gene_id	LFC
CNAG_01397	-3.75E-01
CNAG_00830	4.48E-01
CNAG_06009	3.26E+00
CNAG_04724	7.04E-01
CNAG_01965	1.09E+00
CNAG_02166	-1.60E-01
CNAG_02054	-5.34E-01
CNAG_05527	2.49E-01
CNAG_00716	-6.48E-01
CNAG_01334	4.62E-01
CNAG_13204	-6.51E-01
CNAG_04456	5.54E-01
CNAG_06493	4.20E-01
CNAG_02174	-2.42E-01
CNAG_13035	2.12E+00
CNAG_03465	1.03E+00
CNAG_01739	9.13E-01
CNAG_02784	-2.52E-01
CNAG_12195	-8.59E-01
CNAG_04246	8.78E-01
CNAG_03135	9.94E-01
CNAG_06827	1.11E+00
CNAG_03364	-2.09E-01
CNAG_00345	-3.95E-01
CNAG_12288	1.79E+00
CNAG_01216	5.75E-01
CNAG_06362	4.34E-01
CNAG_02263	-6.80E-01
CNAG_07848	4.52E-01
CNAG_05224	5.59E-01
CNAG_07997	8.23E-01
CNAG_03316	6.31E-01
CNAG_12024	-5.81E-01
CNAG_04273	1.92E-01
CNAG_12794	-9.67E-01
CNAG_04283	2.85E-01
CNAG_05872	1.89E+00
CNAG_04793	-4.61E-01
CNAG_01852	-3.89E-01
CNAG_12888	-7.61E-01
CNAG_01561	3.85E-01
CNAG_07770	5.69E-01
CNAG_05515	3.02E-01
CNAG_01730	4.74E-01
CNAG_04486	1.19E+00
CNAG_03366	3.06E-01
CNAG_03110	5.49E-01
CNAG_01953	2.16E+00
CNAG_04272	1.16E+00
CNAG_03751	7.39E-01
CNAG_12485	-5.12E-01
CNAG_06839	4.45E-01
CNAG_01740	2.29E-01
CNAG_06595	-3.28E-01
CNAG_03849	1.07E+00
CNAG_05813	-4.66E-01
CNAG_12320	-7.03E-01
CNAG_05302	-1.21E+00
CNAG_05993	6.13E-01
CNAG_01024	5.41E-01
CNAG_00562	-2.39E-01
CNAG_05011	-2.16E-01
CNAG_12401	1.19E+00
CNAG_02967	-6.00E-01
CNAG_06770	-3.53E-01
CNAG_04226	2.57E-01
CNAG_05351	6.85E-01
CNAG_01364	-2.96E-01
CNAG_04036	5.98E-01
CNAG_03932	3.46E-01
CNAG_00894	-3.92E-01
CNAG_06399	-2.71E-01
CNAG_03119	4.69E-01
CNAG_02111	-2.23E-01
CNAG_00664	2.01E+00
CNAG_07043	-7.43E-01
CNAG_01390	-4.57E-01
CNAG_03145	1.55E+00
CNAG_12987	1.64E+00
CNAG_02347	-1.59E+00
CNAG_12210	1.19E+00
CNAG_05861	3.11E-01
CNAG_02552	3.53E-01
CNAG_05075	7.01E+00
CNAG_12849	1.85E+00
CNAG_02791	-2.23E-01
CNAG_04925	-3.68E-01
CNAG_04992	1.04E+00
CNAG_00034	-4.14E-01
CNAG_02317	-4.91E-01
CNAG_04632	7.35E-01
CNAG_13064	-1.61E+00
CNAG_06350	-3.18E-01
CNAG_05807	3.72E-01
CNAG_01381	-2.83E-01
CNAG_12387	9.83E-01
CNAG_06545	-3.03E-01
CNAG_00571	1.47E-01
CNAG_07990	-1.00E+00
CNAG_01441	5.24E-01
CNAG_03375	-3.07E-01
CNAG_02236	-2.19E-01
CNAG_05582	4.83E-01
CNAG_06460	1.64E+00
CNAG_07026	-8.31E-01
CNAG_03412	6.22E-01
CNAG_04294	6.30E-01
CNAG_07015	7.55E-01
CNAG_03440	1.79E-01
CNAG_12394	-1.21E+00
CNAG_03153	4.42E-01
CNAG_05146	-2.91E-01
CNAG_01800	-5.14E-01
CNAG_02153	1.57E-01
CNAG_02437	-3.95E-01
CNAG_00940	-3.75E-01
CNAG_05383	-1.07E+00
CNAG_07377	-2.29E-01
CNAG_04312	2.65E-01
CNAG_04179	-2.40E-01
CNAG_04168	4.35E-01
CNAG_01266	3.88E-01
CNAG_06906	-2.97E-01
CNAG_12520	1.87E+00
CNAG_01082	-3.05E-01
CNAG_13146	8.55E-01
CNAG_05290	-6.63E-01
CNAG_06955	4.25E-01
CNAG_07677	-5.33E-01
CNAG_06237	6.79E-01
CNAG_03057	3.12E-01
CNAG_12238	-3.39E-01
CNAG_03445	5.67E-01
CNAG_05429	4.17E-01
CNAG_12359	5.76E-01
CNAG_04502	-2.39E-01
CNAG_05915	1.23E+00
CNAG_12612	-1.85E+00
CNAG_01224	-4.64E-01
CNAG_04458	-2.50E-01
CNAG_05069	-3.40E-01
CNAG_05843	2.80E-01
CNAG_00028	-3.56E-01
CNAG_06594	2.34E-01
CNAG_03228	6.21E-01
CNAG_03160	4.19E-01
CNAG_01414	2.95E-01
CNAG_06204	-1.14E+00
CNAG_12012	-8.90E-01
CNAG_03810	-5.45E-01
CNAG_05192	2.09E+00
CNAG_01609	-4.37E-01
CNAG_03937	-6.91E-01
CNAG_05899	-4.05E-01
CNAG_00417	-2.63E-01
CNAG_01986	5.44E-01
CNAG_06653	5.86E-01
CNAG_02257	-4.62E-01
CNAG_03079	-3.95E-01
CNAG_07531	-3.55E-01
CNAG_00707	-6.00E-01
CNAG_02203	-6.96E-01
CNAG_03061	1.59E+00
CNAG_01962	-4.91E-01
CNAG_13013	-6.18E-01
CNAG_07479	5.83E-01
CNAG_07393	-6.51E-01
CNAG_05459	-2.52E-01
CNAG_02684	3.81E-01
CNAG_01455	-8.06E-01
CNAG_05980	-3.31E-01
CNAG_06740	3.51E-01
CNAG_00039	3.66E-01
CNAG_01534	7.70E-01
CNAG_07637	-3.62E-01
CNAG_02670	4.48E-01
CNAG_01341	-1.14E+00
CNAG_12530	6.03E-01
CNAG_07344	8.49E-01
CNAG_05868	5.53E-01
CNAG_01118	1.22E+00
CNAG_12574	-7.74E-01
CNAG_00935	-2.24E-01
CNAG_05569	-3.11E-01
CNAG_00930	-6.60E-01
CNAG_00744	8.53E-01
CNAG_06897	-3.81E-01
CNAG_00370	-5.24E-01
