Accession	Unique Peptides	Abundances_With	Abundances_Without	Sample_With_1	Sample_With_2	Sample_With_3	Sample_Without_1	Sample_Without_2	Sample_Without_3
CNAG_06923-t26_1-p1	60	98.1	101.9	High	High	High	High	High	High
CNAG_07561-t26_1-p1	37	102.3	97.7	High	High	High	High	High	High
CNAG_01890-t26_1-p1	63	107.2	92.8	High	High	High	High	High	High
CNAG_01727-t26_1-p1	22	101	99	High	High	High	High	High	High
CNAG_06150-t26_1-p1	62	101.9	98.1	High	High	High	High	High	High
CNAG_05918-t26_1-p1	36	93.5	106.5	High	High	High	High	High	High
CNAG_00334-t26_1-p1	43	125.6	74.4	High	High	High	High	High	High
CNAG_05199-t26_1-p1	39	102.6	97.4	High	High	High	High	High	High
CNAG_01137-t26_1-p1	38	99.6	100.4	High	High	High	High	High	High
CNAG_02099-t26_1-p1	66	67.9	132.1	High	High	High	High	High	High
CNAG_04640-t26_1-p1	59	89.9	110.1	High	High	High	High	High	High
CNAG_06840-t26_1-p1	48	89.7	110.3	High	High	High	High	High	High
CNAG_06208-t26_1-p1	52	104.1	95.9	High	High	High	High	High	High
CNAG_03891-t26_1-p1	48	103.5	96.5	High	High	High	High	High	High
CNAG_04851-t26_1-p1	42	95.1	104.9	High	High	High	High	High	High
CNAG_01117-t26_1-p1	51	99	101	High	High	High	High	High	High
CNAG_05759-t26_1-p1	58	77.3	122.7	High	High	High	High	High	High
CNAG_00136-t26_1-p1	43	99.8	100.2	High	High	High	High	High	High
CNAG_00483-t26_1-p1	14	93.9	106.1	High	High	High	High	High	High
CNAG_07373-t26_1-p1	63	91.6	108.4	High	High	High	High	High	High
CNAG_05907-t26_1-p1	51	85.3	114.7	High	High	High	High	High	High
CNAG_04659-t26_1-p1	35	94.7	105.3	High	High	High	High	High	High
CNAG_06699-t26_1-p1	25	100.2	99.8	High	High	High	High	High	High
CNAG_01820-t26_2-p1	28	82.3	117.7	High	High	High	High	High	High
CNAG_06112-t26_1-p1	42	91.9	108.1	High	High	High	High	High	High
CNAG_01750-t26_1-p1	10	105.9	94.1	High	High	High	High	High	High
CNAG_05722-t26_1-p1	46	101.2	98.8	High	High	High	High	High	High
CNAG_06313-t26_1-p1	29	106.2	93.8	High	High	High	High	High	High
P00761 SWISS-PROT:P00761	14	75	125	High	High	High	High	High	High
CNAG_01464-t26_1-p1	34	93.3	106.7	High	High	High	High	High	High
CNAG_07445-t26_1-p1	43	101.5	98.5	High	High	High	High	High	High
CNAG_06123-t26_1-p1	48	96.4	103.6	High	High	High	High	High	High
CNAG_02100-t26_1-p1	57	80.8	119.2	High	High	High	High	High	High
CNAG_06400-t26_1-p1	34	105	95	High	High	High	High	High	High
CNAG_00417-t26_1-p1	37	85.6	114.4	High	High	High	High	High	High
CNAG_04082-t26_1-p1	47	95.5	104.5	High	High	High	High	High	High
CNAG_03916-t26_1-p1	28	101.9	98.1	High	High	High	High	High	High
CNAG_03476-t26_1-p1	35	101.9	98.1	High	High	High	High	High	High
CNAG_05070-t26_1-p1	40	92.5	107.5	High	High	High	High	High	High
CNAG_06666-t26_1-p1	44	75.9	124.1	High	High	High	High	High	High
CNAG_01558-t26_1-p1	29	96.8	103.2	High	High	High	High	High	High
CNAG_02748-t26_1-p1	26	95	105	High	High	High	High	High	High
CNAG_03072-t26_1-p1	31	108	92	High	High	High	High	High	High
CNAG_06900-t26_1-p1	31	108.8	91.2	High	High	High	High	High	High
CNAG_04904-t26_1-p1	45	72.2	127.8	High	High	High	High	High	High
CNAG_07746-t26_1-p1	43	106.9	93.1	High	High	High	High	High	High
CNAG_02129-t26_1-p1	43	89.4	110.6	High	High	High	High	High	High
CNAG_06443-t26_1-p1	37	99.1	100.9	High	High	High	High	High	High
CNAG_04189-t26_1-p1	32	97.7	102.3	High	High	High	High	High	High
CNAG_03245-t26_1-p1	39	98.2	101.8	High	High	High	High	High	High
CNAG_07347-t26_1-p1	39	103	97	High	High	High	High	High	High
CNAG_03040-t26_1-p1	14	99.1	100.9	High	High	High	High	High	High
CNAG_04969-t26_1-p1	29	90.1	109.9	High	High	High	High	High	High
CNAG_03674-t26_1-p1	43	98.8	101.2	High	High	High	High	High	High
CNAG_00886-t26_1-p1	25	100.6	99.4	High	High	High	High	High	High
CNAG_02994-t26_1-p1	3	100.9	99.1	High	High	High	High	High	High
CNAG_03225-t26_1-p1	23	96.4	103.6	High	High	High	High	High	High
CNAG_03629-t26_1-p1	39	93.9	106.1	High	High	High	High	High	High
CNAG_04879-t26_1-p1	42	78.6	121.4	High	High	High	High	High	High
CNAG_05884-t26_1-p1	39	111.7	88.3	High	High	High	High	High	High
CNAG_00237-t26_1-p1	34	92.2	107.8	High	High	High	High	High	High
CNAG_00441-t26_1-p1	26	93.2	106.8	High	High	High	High	High	High
CNAG_04601-t26_1-p1	31	99.7	100.3	High	High	High	High	High	High
CNAG_00061-t26_1-p1	28	99.3	100.7	High	High	High	High	High	High
CNAG_00418-t26_1-p1	23	107.7	92.3	High	High	High	High	High	High
CNAG_04009-t26_1-p1	43	98.7	101.3	High	High	High	High	High	High
CNAG_06144-t26_1-p1	14	119.6	80.4	High	High	High	High	High	High
CNAG_07004-t26_1-p1	30	90.3	109.7	High	High	High	High	High	High
CNAG_03358-t26_1-p1	35	101.9	98.1	High	High	High	High	High	High
CNAG_00091-t26_1-p1	21	91.1	108.9	High	High	High	High	High	High
CNAG_00866-t26_1-p1	9	99.1	100.9	High	High	High	High	High	High
CNAG_02994-t26_2-p1	1	91.8	108.2	High	High	Peak Found	High	High	High
CNAG_00649-t26_1-p1	30	96.4	103.6	High	High	High	High	High	High
CNAG_03263-t26_1-p1	24	93.3	106.7	High	High	High	High	High	High
CNAG_06240-t26_1-p1	30	98.8	101.2	High	High	High	High	High	High
CNAG_05465-t26_1-p1	23	88.6	111.4	High	High	High	High	High	High
CNAG_06125-t26_1-p1	25	102.7	97.3	High	High	High	High	High	High
CNAG_01896-t26_1-p1	30	111.3	88.7	High	High	High	High	High	High
CNAG_06770-t26_1-p1	22	94.9	105.1	High	High	High	High	High	High
CNAG_01594-t26_1-p1	33	93.6	106.4	High	High	High	High	High	High
CNAG_01577-t26_1-p1	30	107.8	92.2	High	High	High	High	High	High
CNAG_07473-t26_1-p1	34	98.3	101.7	High	High	High	High	High	High
CNAG_06755-t26_1-p1	35	97.4	102.6	High	High	High	High	High	High
CNAG_02182-t26_1-p1	26	100.8	99.2	High	High	High	High	High	High
CNAG_05750-t26_1-p1	32	87.1	112.9	High	High	High	High	High	High
CNAG_02673-t26_1-p1	23	100	100	High	High	High	High	High	High
CNAG_03612-t26_1-p1	24	109.3	90.7	High	High	High	High	High	High
CNAG_02418-t26_1-p1	31	77.3	122.7	High	High	High	High	High	High
CNAG_07660-t26_1-p1	25	100.6	99.4	High	High	High	High	High	High
CNAG_00509-t26_1-p1	20	96.1	103.9	High	High	High	High	High	High
CNAG_05031-t26_1-p1	21	97.8	102.2	High	High	High	High	High	High
CNAG_03765-t26_1-p1	29	94.9	105.1	High	High	High	High	High	High
CNAG_03507-t26_1-p1	23	94.5	105.5	High	High	High	High	High	High
CNAG_02928-t26_1-p1	23	85.7	114.3	High	High	High	High	High	High
CNAG_02133-t26_1-p1	20	89.9	110.1	High	High	High	High	High	High
CNAG_01428-t26_1-p1	15	107.2	92.8	High	High	High	High	High	High
CNAG_03588-t26_1-p1	31	85.8	114.2	High	High	High	High	High	High
