No-change_LCMS	No-change_Pho	Down_Pho	Up_Pho
CNAG_06923	CNAG_01155	CNAG_01130	CNAG_02404
CNAG_07561	CNAG_01744	CNAG_00848	CNAG_03319
CNAG_01890	CNAG_04478	CNAG_02091	CNAG_05109
CNAG_01727	CNAG_05309	CNAG_04028	CNAG_06426
CNAG_06150	CNAG_07571	CNAG_03355	CNAG_07609
CNAG_05918	CNAG_03771	CNAG_03458	CNAG_00858
CNAG_00334	CNAG_03143	CNAG_06060	CNAG_06943
CNAG_05199	CNAG_06081	CNAG_02806	CNAG_01097
CNAG_01137	CNAG_01526	CNAG_00363	CNAG_06819
CNAG_02099	CNAG_03962	CNAG_06900	CNAG_05734
CNAG_04640	CNAG_01902	CNAG_05935	CNAG_00104
CNAG_06840	CNAG_01315	CNAG_05745	CNAG_06594
CNAG_06208	CNAG_02568	CNAG_00874	CNAG_03046
CNAG_03891	CNAG_05634	CNAG_06549	CNAG_01587
CNAG_04851	CNAG_02458	CNAG_05301	CNAG_05468
CNAG_01117	CNAG_06301	CNAG_02994	CNAG_05391
CNAG_05759	CNAG_04284	CNAG_06754	CNAG_04733
CNAG_00136	CNAG_06103	CNAG_01344	CNAG_05198
CNAG_00483	CNAG_00402	CNAG_03606	CNAG_01722
CNAG_07373	CNAG_01261	CNAG_01183	CNAG_01673
CNAG_05907	CNAG_02208	CNAG_00649	CNAG_01905
CNAG_04659	CNAG_04587	CNAG_01898	CNAG_01240
CNAG_06699	CNAG_05250	CNAG_05216	CNAG_03007
CNAG_01820	CNAG_04621	CNAG_01360	CNAG_05603
CNAG_06112	CNAG_02854	CNAG_02940	CNAG_03261
CNAG_01750	CNAG_03785	CNAG_05762	CNAG_05496
CNAG_05722	CNAG_02810	CNAG_06220	CNAG_04384
CNAG_06313	CNAG_05720	CNAG_03297	CNAG_01620
CNAG_01464	CNAG_06839	CNAG_02064	CNAG_06983
CNAG_07445	CNAG_02129	CNAG_07464	CNAG_04321
CNAG_06123	CNAG_03120	CNAG_00577	CNAG_01173
CNAG_02100	CNAG_04361	CNAG_00372	CNAG_03241
CNAG_06400	CNAG_04163	CNAG_01270	CNAG_01241
CNAG_00417	CNAG_00774	CNAG_01150	CNAG_00239
CNAG_04082	CNAG_05416	CNAG_00746	CNAG_07628
CNAG_03916	CNAG_01549	CNAG_00665	CNAG_00669
CNAG_03476	CNAG_04676	CNAG_07665	CNAG_03184
CNAG_05070	CNAG_02857	CNAG_01537	CNAG_05103
CNAG_06666	CNAG_01182	CNAG_00346	CNAG_00147
CNAG_01558	CNAG_05700	CNAG_06746	CNAG_06125
CNAG_02748	CNAG_00020	CNAG_07410	CNAG_03023
CNAG_03072	CNAG_06455	CNAG_06473	CNAG_06673
CNAG_06900	CNAG_01655	CNAG_02001	CNAG_04208
CNAG_04904	CNAG_06534	CNAG_03553	CNAG_01835
CNAG_07746	CNAG_03724	CNAG_06199	CNAG_07940
CNAG_02129	CNAG_02501	CNAG_05970	CNAG_01082
CNAG_06443	CNAG_07718	CNAG_03017	CNAG_02754
CNAG_04189	CNAG_02079	CNAG_07878	CNAG_00606
CNAG_03245	CNAG_01031	CNAG_02720	CNAG_02468
CNAG_07347	CNAG_03722	CNAG_00386	CNAG_06142
CNAG_03040	CNAG_02744	CNAG_04656	CNAG_01556
CNAG_04969	CNAG_01897	CNAG_04062	CNAG_01734
CNAG_03674	CNAG_00279	CNAG_06313	CNAG_00872
CNAG_00886	CNAG_01446	CNAG_03100	CNAG_06192
CNAG_02994	CNAG_01298	CNAG_03052	CNAG_01021
CNAG_03225	CNAG_04639	CNAG_02912	CNAG_03282
CNAG_03629	CNAG_04190	CNAG_07694	CNAG_06770
CNAG_04879	CNAG_04803	CNAG_01029	CNAG_01790
CNAG_05884	CNAG_00972	CNAG_05172	CNAG_01464
CNAG_00237	CNAG_02943	CNAG_05884	CNAG_00422
CNAG_00441	CNAG_02550	CNAG_04760	CNAG_01842
CNAG_04601	CNAG_04105	CNAG_04207	CNAG_01412
CNAG_00061	CNAG_00055	CNAG_01848	CNAG_00718
CNAG_00418	CNAG_03345	CNAG_00438	CNAG_01168
CNAG_04009	CNAG_01126	CNAG_04575	CNAG_01084
CNAG_06144	CNAG_06327	CNAG_05817	CNAG_01178
CNAG_07004	CNAG_05311	CNAG_01941	CNAG_07420
CNAG_03358	CNAG_05925	CNAG_00174	CNAG_02683
CNAG_00091	CNAG_04570	CNAG_00683	CNAG_07593
CNAG_00866	CNAG_00666	CNAG_07374	CNAG_01388
CNAG_00649	CNAG_03886	CNAG_06897	CNAG_05484
CNAG_03263	CNAG_05661	CNAG_02695	CNAG_01203
CNAG_06240	CNAG_00260	CNAG_06158	CNAG_06766
CNAG_05465	CNAG_00745	CNAG_05446	CNAG_02038
CNAG_06125	CNAG_03494	CNAG_03003	CNAG_00987
CNAG_01896	CNAG_00148	CNAG_01890	CNAG_00093
CNAG_06770	CNAG_06828	CNAG_02983	CNAG_03056
CNAG_01594	CNAG_07522	CNAG_01180	CNAG_00594
CNAG_01577	CNAG_01598	CNAG_03868	CNAG_01115
CNAG_07473	CNAG_05167	CNAG_05798	CNAG_00166
CNAG_06755	CNAG_02046	CNAG_04745	CNAG_01946
CNAG_02182	CNAG_06129	CNAG_01492	CNAG_01815
CNAG_05750	CNAG_04642	CNAG_02188	CNAG_02401
CNAG_02673	CNAG_04699	CNAG_03689	CNAG_04316
CNAG_03612	CNAG_01318	CNAG_03700	CNAG_01101
CNAG_02418	CNAG_00286	CNAG_02962	CNAG_04612
