Accession	TotalPeptides	UniquePeptides	Abundances_With	Abundances_Without	Sample_With_1	Sample_With_2	Sample_Without_1	Sample_Without_2
CNAG_01155-t26_1-p1	7	7	97.6	102.4	High	High	High	High
CNAG_01744-t26_1-p1	6	6	82.8	117.2	High	High	High	High
CNAG_04478-t26_1-p1	10	10	100.1	99.9	High	High	High	High
CNAG_05309-t26_1-p1	4	4	70.4	129.6	High	High	High	High
CNAG_01130-t26_1-p1	8	1	50.2	149.8	Not Found	Peak Found	High	High
CNAG_02404-t26_1-p1	6	6	138.8	61.2	High	High	High	High
CNAG_01130-t26_2-p1	8	1			Not Found	Not Found	High	Not Found
CNAG_07571-t26_1-p1	5	5	112.5	87.5	High	High	High	High
CNAG_03319-t26_1-p1	6	6	134	66	High	High	High	High
CNAG_00848-t26_1-p1	9	9	60.1	139.9	High	High	High	High
CNAG_03771-t26_1-p1	7	7	92.5	107.5	High	High	High	High
CNAG_03143-t26_1-p1	6	6	84.2	115.8	High	High	High	High
CNAG_06081-t26_1-p1	2	2	74.1	125.9	High	High	High	High
CNAG_01526-t26_1-p1	10	10	93	107	High	High	High	High
CNAG_03962-t26_1-p1	2	2	106.1	93.9	High	High	High	High
CNAG_01902-t26_1-p1	9	9	93.6	106.4	High	High	High	High
CNAG_05109-t26_1-p1	6	6	146.8	53.2	High	High	High	High
CNAG_02091-t26_1-p1	2	2	54.8	145.2	High	High	High	High
CNAG_01315-t26_1-p1	6	6	104.2	95.8	High	High	High	High
CNAG_02568-t26_1-p1	9	9	90.3	109.7	High	High	High	High
CNAG_05634-t26_1-p1	3	3	83.2	116.8	High	High	High	High
CNAG_02458-t26_1-p1	6	6	101.9	98.1	High	High	High	High
CNAG_06301-t26_1-p1	5	5	84.3	115.7	High	High	High	High
CNAG_04284-t26_1-p1	4	4	101.5	98.5	High	High	High	High
CNAG_06103-t26_1-p1	6	6	127	73	High	High	High	High
CNAG_06426-t26_1-p1	1	1	146.1	53.9	High	High	High	High
CNAG_00402-t26_1-p1	8	8	83.1	116.9	High	High	High	High
CNAG_01261-t26_1-p1	10	10	103.7	96.3	High	High	High	High
CNAG_02208-t26_1-p1	4	4	104.9	95.1	High	High	High	High
CNAG_04587-t26_2-p1	6	6	110.8	89.2	High	High	High	High
CNAG_05250-t26_1-p1	5	5	126.4	73.6	High	High	High	High
CNAG_04621-t26_1-p1	5	5	118.9	81.1	High	High	High	High
CNAG_02854-t26_1-p1	3	3	127.6	72.4	High	High	High	High
CNAG_03785-t26_1-p1	3	3	100.6	99.4	High	High	High	High
CNAG_07609-t26_1-p1	5	5	161.1	38.9	High	High	High	High
CNAG_02810-t26_1-p1	3	3	83	117	High	High	High	High
CNAG_00858-t26_1-p1	5	1	175.9	24.1	High	High	Peak Found	High
CNAG_05720-t26_1-p1	3	3	88.1	111.9	High	High	High	High
CNAG_06839-t26_1-p1	3	3	84.6	115.4	High	High	High	High
CNAG_02129-t26_1-p1	4	4	80.6	119.4	High	High	High	High
CNAG_03120-t26_2-p1	2	2	117.7	82.3	High	High	High	High
CNAG_04361-t26_1-p1	6	6	81.6	118.4	High	High	High	High
CNAG_04163-t26_1-p1	7	7	96.5	103.5	High	High	High	High
CNAG_00774-t26_1-p1	4	4	96.3	103.7	High	High	High	High
CNAG_05416-t26_1-p1	3	3	82	118	High	High	High	High
CNAG_01549-t26_1-p1	3	3	69.3	130.7	High	High	High	High
CNAG_04676-t26_1-p1	3	3	94.8	105.2	High	High	High	High
CNAG_02857-t26_1-p1	7	7	112.6	87.4	High	High	High	High
CNAG_01182-t26_1-p1	7	7	81.7	118.3	High	High	High	High
CNAG_05700-t26_1-p1	3	3	114.9	85.1	High	High	High	High
CNAG_00020-t26_1-p1	2	2	107.4	92.6	High	High	High	High
CNAG_06455-t26_1-p1	5	5	104.6	95.4	High	High	High	High
CNAG_06943-t26_1-p1	5	1	157	43	High	High	Peak Found	Peak Found
CNAG_04028-t26_1-p1	2	2	45.8	154.2	High	High	High	High
CNAG_01655-t26_1-p1	3	3	80.2	119.8	High	High	High	High
CNAG_06534-t26_1-p1	4	4	111.6	88.4	High	High	High	High
CNAG_03724-t26_1-p1	4	4	77	123	High	High	High	High
CNAG_02501-t26_1-p1	7	7	91.1	108.9	High	High	High	High
CNAG_07718-t26_1-p1	4	4	115.2	84.8	High	High	High	High
CNAG_02079-t26_1-p1	4	4	69.1	130.9	High	High	High	High
CNAG_01031-t26_1-p1	2	2	125.8	74.2	High	High	High	High
CNAG_03722-t26_1-p1	5	5	77.2	122.8	High	High	High	High
CNAG_01097-t26_1-p1	1	1	174.7	25.3	High	High	High	Peak Found
CNAG_06819-t26_1-p1	3	3	171.9	28.1	High	High	High	High
CNAG_02744-t26_1-p1	5	1	96.2	103.8	High	High	Peak Found	Peak Found
CNAG_01897-t26_1-p1	4	4	88	112	High	High	High	High
CNAG_00279-t26_1-p1	1	1	127.6	72.4	High	High	High	High
CNAG_01446-t26_1-p1	4	4	92.8	107.2	High	High	High	High
CNAG_05734-t26_2-p1	1	1	133.6	66.4	High	High	High	High
CNAG_01298-t26_1-p1	4	4	82.1	117.9	High	High	High	High
CNAG_04639-t26_1-p1	4	4	75.4	124.6	High	High	High	High
CNAG_04190-t26_1-p1	7	7	109.9	90.1	High	High	High	High
CNAG_04803-t26_1-p1	8	8	88.7	111.3	High	High	High	High
CNAG_00972-t26_1-p1	2	2	114.3	85.7	High	High	High	High
CNAG_02943-t26_1-p1	8	8	101.2	98.8	High	High	High	High
CNAG_02550-t26_1-p1	4	4	84.7	115.3	High	High	High	High
CNAG_00104-t26_1-p1	2	2	140.5	59.5	High	High	High	High
CNAG_03355-t26_1-p1	3	3	62.9	137.1	High	High	High	High
CNAG_04105-t26_1-p1	2	2	76.9	123.1	High	High	High	High
CNAG_00055-t26_1-p1	3	3	119.5	80.5	High	High	High	High
CNAG_06594-t26_1-p1	3	3	159.9	40.1	High	High	High	High
CNAG_03345-t26_2-p1	3	3	112.7	87.3	High	High	High	High
CNAG_01126-t26_1-p1	7	7	101.3	98.7	High	High	High	High
CNAG_03458-t26_1-p1	4	4	47.5	152.5	High	High	High	High
CNAG_06327-t26_1-p1	6	6	86.1	113.9	High	High	High	High
CNAG_03046-t26_1-p1	1	1	136.6	63.4	High	High	High	High
CNAG_05311-t26_1-p1	4	4	106.7	93.3	High	High	High	High
CNAG_05925-t26_1-p1	4	4	75.3	124.7	High	High	High	High
CNAG_01587-t26_1-p1	5	5	136.2	63.8	High	High	High	High
CNAG_05468-t26_1-p1	2	2	137.3	62.7	High	High	High	High
CNAG_05391-t26_1-p1	5	5	168.8	31.2	High	High	Peak Found	High
CNAG_04570-t26_1-p1	4	4	112.7	87.3	High	High	High	High
CNAG_00666-t26_1-p1	4	4	100	100	High	High	High	High
CNAG_03886-t26_1-p1	2	2	114.3	85.7	High	High	High	High
CNAG_04733-t26_1-p1	2	2	140	60	High	High	High	High
