GID	GO_ONTOLOGY	GO_ID	GO_TERM_NAME	GO_EVIDENCE_CODE
CNAG_00003	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00003	Molecular Function	GO:0022857	transmembrane transporter activity	IEA
CNAG_00003	Biological Process	GO:0055085	transmembrane transport	IEA
CNAG_00004	Molecular Function	GO:0003677	DNA binding	IEA
CNAG_00004	Cellular Component	GO:0005634	nucleus	IEA
CNAG_00004	Biological Process	GO:0006351	"transcription, DNA-templated"	IEA
CNAG_00004	Molecular Function	GO:0008270	zinc ion binding	IEA
CNAG_00005	Molecular Function	GO:0005515	protein binding	IEA
CNAG_00006	Cellular Component	GO:0005743	mitochondrial inner membrane	IEA
CNAG_00006	Cellular Component	GO:0016020	membrane	IEA
CNAG_00006	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00007	Molecular Function	GO:0000166	nucleotide binding	IEA
CNAG_00007	Molecular Function	GO:0004812	aminoacyl-tRNA ligase activity	IEA
CNAG_00007	Molecular Function	GO:0004825	methionine-tRNA ligase activity	IEA
CNAG_00007	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_00007	Biological Process	GO:0006418	tRNA aminoacylation for protein translation	IEA
CNAG_00007	Biological Process	GO:0006431	methionyl-tRNA aminoacylation	IEA
CNAG_00009	Molecular Function	GO:0005509	calcium ion binding	IEA
CNAG_00010	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00011	Molecular Function	GO:0004061	arylformamidase activity	IEA
CNAG_00011	Biological Process	GO:0019441	tryptophan catabolic process to kynurenine	IEA
CNAG_00012	Molecular Function	GO:0016491	oxidoreductase activity	IEA
CNAG_00015	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00016	Molecular Function	GO:0003723	RNA binding	IEA
CNAG_00016	Cellular Component	GO:0005681	spliceosomal complex	IEA
CNAG_00016	Biological Process	GO:0006364	rRNA processing	IEA
CNAG_00016	Biological Process	GO:0006397	mRNA processing	IEA
CNAG_00016	Biological Process	GO:0008380	RNA splicing	IEA
CNAG_00017	Molecular Function	GO:0003700	DNA-binding transcription factor activity	IEA
CNAG_00017	Cellular Component	GO:0005634	nucleus	IEA
CNAG_00017	Biological Process	GO:0006355	"regulation of transcription, DNA-templated"	IEA
CNAG_00017	Molecular Function	GO:0043565	sequence-specific DNA binding	IEA
CNAG_00018	Molecular Function	GO:0000981	"DNA-binding transcription factor activity, RNA polymerase II-specific"	IEA
CNAG_00018	Molecular Function	GO:0003677	DNA binding	IEA
CNAG_00018	Cellular Component	GO:0005634	nucleus	IEA
CNAG_00018	Biological Process	GO:0006351	"transcription, DNA-templated"	IEA
CNAG_00018	Biological Process	GO:0006355	"regulation of transcription, DNA-templated"	IEA
CNAG_00018	Biological Process	GO:0007618	mating	HMP
CNAG_00018	Molecular Function	GO:0008270	zinc ion binding	IEA
CNAG_00018	Biological Process	GO:0009408	response to heat	HMP
CNAG_00018	Biological Process	GO:0009651	response to salt stress	HMP
CNAG_00018	Biological Process	GO:0010335	response to non-ionic osmotic stress	HMP
CNAG_00018	Biological Process	GO:0036245	cellular response to menadione	HMP
CNAG_00018	Cellular Component	GO:0042025	host cell nucleus	IEA
CNAG_00018	Biological Process	GO:0042438	melanin biosynthetic process	HMP
CNAG_00018	Biological Process	GO:0072702	response to methyl methanesulfonate	HMP
CNAG_00018	Biological Process	GO:0072706	response to sodium dodecyl sulfate	HMP
CNAG_00018	Biological Process	GO:0072710	response to hydroxyurea	HMP
CNAG_00018	Biological Process	GO:0072735	response to tert-butyl hydroperoxide	HMP
CNAG_00018	Biological Process	GO:1904576	response to tunicamycin	HMP
CNAG_00019	Cellular Component	GO:0005743	mitochondrial inner membrane	IEA
CNAG_00019	Cellular Component	GO:0042719	mitochondrial intermembrane space protein transporter complex	IEA
CNAG_00019	Biological Process	GO:0045039	protein insertion into mitochondrial inner membrane	IEA
CNAG_00021	Molecular Function	GO:0004014	adenosylmethionine decarboxylase activity	IEA
CNAG_00021	Biological Process	GO:0006557	S-adenosylmethioninamine biosynthetic process	IEA
CNAG_00021	Biological Process	GO:0006597	spermine biosynthetic process	IEA
CNAG_00021	Biological Process	GO:0008295	spermidine biosynthetic process	IEA
CNAG_00022	Molecular Function	GO:0004408	holocytochrome-c synthase activity	IEA
CNAG_00022	Cellular Component	GO:0005739	mitochondrion	IEA
CNAG_00022	Cellular Component	GO:0005743	mitochondrial inner membrane	IEA
CNAG_00022	Molecular Function	GO:0046872	metal ion binding	IEA
CNAG_00025	Cellular Component	GO:0005774	vacuolar membrane	IDA
CNAG_00025	Molecular Function	GO:0015369	calcium:proton antiporter activity	IC
CNAG_00025	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00025	Biological Process	GO:0051592	response to calcium ion	IMP
CNAG_00025	Biological Process	GO:0055085	transmembrane transport	IEA
CNAG_00025	Biological Process	GO:0140146	calcium ion import into vacuole	IMP
CNAG_00026	Molecular Function	GO:0003824	catalytic activity	IEA
CNAG_00026	Molecular Function	GO:0008483	transaminase activity	IEA
CNAG_00026	Biological Process	GO:0009058	biosynthetic process	IEA
CNAG_00026	Molecular Function	GO:0030170	pyridoxal phosphate binding	IEA
CNAG_00027	Molecular Function	GO:0000981	"DNA-binding transcription factor activity, RNA polymerase II-specific"	IEA
CNAG_00027	Biological Process	GO:0006355	"regulation of transcription, DNA-templated"	IEA
CNAG_00027	Molecular Function	GO:0008270	zinc ion binding	IEA
CNAG_00027	Cellular Component	GO:0042025	host cell nucleus	IEA
CNAG_00028	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00028	Molecular Function	GO:0022857	transmembrane transporter activity	IEA
CNAG_00028	Biological Process	GO:0055085	transmembrane transport	IEA
CNAG_00029	Molecular Function	GO:0016616	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"	IEA
CNAG_00029	Molecular Function	GO:0051287	NAD binding	IEA
CNAG_00029	Biological Process	GO:0055114	obsolete oxidation-reduction process	IEA
CNAG_00031	Molecular Function	GO:0000981	"DNA-binding transcription factor activity, RNA polymerase II-specific"	IEA
CNAG_00031	Molecular Function	GO:0003677	DNA binding	IEA
CNAG_00031	Cellular Component	GO:0005634	nucleus	IEA
CNAG_00031	Biological Process	GO:0006351	"transcription, DNA-templated"	IEA
